N1;P1;P2;N3;P3;AP;N1_prev1;P1_prev1;P2_prev1;N3_prev1;P3_prev1;N1_prev2;P1_prev2;P2_prev2;N3_prev2;P3_prev2;N1_prev3;P1_prev3;P2_prev3;N3_prev3;P3_prev3
-7.94026e-05;6.07402e-05;9.83823556e-05;5.06552e-05;-9.8004e-05;0.0;-8.64926e-05;4.04634e-05;9.70346446e-05;5.02832e-05;-0.000100544;-9.17847e-05;4.43708e-05;9.72655325e-05;5.14209e-05;-9.7883e-05;-9.87302e-05;4.02357e-05;9.5586649e-05;5.22554e-05;-0.00010369
-7.52434e-05;4.37152e-05;9.74394643e-05;4.91313e-05;-9.8844e-05;0.0;-7.94026e-05;6.07402e-05;9.83823556e-05;5.06552e-05;-9.8004e-05;-8.64926e-05;4.04634e-05;9.70346446e-05;5.02832e-05;-0.000100544;-9.17847e-05;4.43708e-05;9.72655325e-05;5.14209e-05;-9.7883e-05
-7.07768e-05;4.31907e-05;9.59840036e-05;4.926e-05;-9.9208e-05;0.0;-7.52434e-05;4.37152e-05;9.74394643e-05;4.91313e-05;-9.8844e-05;-7.94026e-05;6.07402e-05;9.83823556e-05;5.06552e-05;-9.8004e-05;-8.64926e-05;4.04634e-05;9.70346446e-05;5.02832e-05;-0.000100544
-6.59609e-05;4.04833e-05;9.96220842e-05;4.82772e-05;-9.8038e-05;0.0;-7.07768e-05;4.31907e-05;9.59840036e-05;4.926e-05;-9.9208e-05;-7.52434e-05;4.37152e-05;9.74394643e-05;4.91313e-05;-9.8844e-05;-7.94026e-05;6.07402e-05;9.83823556e-05;5.06552e-05;-9.8004e-05
-6.18888e-05;4.30155e-05;9.8533601e-05;4.6222e-05;-9.4494e-05;0.0;-6.59609e-05;4.04833e-05;9.96220842e-05;4.82772e-05;-9.8038e-05;-7.07768e-05;4.31907e-05;9.59840036e-05;4.926e-05;-9.9208e-05;-7.52434e-05;4.37152e-05;9.74394643e-05;4.91313e-05;-9.8844e-05
-5.54386e-05;5.88426e-05;9.82066194e-05;4.73019e-05;-9.9561e-05;1.0;-6.18888e-05;4.30155e-05;9.8533601e-05;4.6222e-05;-9.4494e-05;-6.59609e-05;4.04833e-05;9.96220842e-05;4.82772e-05;-9.8038e-05;-7.07768e-05;4.31907e-05;9.59840036e-05;4.926e-05;-9.9208e-05
-0.0005980757;0.0001184173;0.00025935634;0.000275395;-0.000308009;1.0;-5.54386e-05;5.88426e-05;9.82066194e-05;4.73019e-05;-9.9561e-05;-6.18888e-05;4.30155e-05;9.8533601e-05;4.6222e-05;-9.4494e-05;-6.59609e-05;4.04833e-05;9.96220842e-05;4.82772e-05;-9.8038e-05
-0.0009951109;0.0001334293;0.000267099065;0.0002911925;-0.0003520984;1.0;-0.0005980757;0.0001184173;0.00025935634;0.000275395;-0.000308009;-5.54386e-05;5.88426e-05;9.82066194e-05;4.73019e-05;-9.9561e-05;-6.18888e-05;4.30155e-05;9.8533601e-05;4.6222e-05;-9.4494e-05
-0.0011098463;0.0001301953;0.000278900116;0.0003182081;-0.0003678239;1.0;-0.0009951109;0.0001334293;0.000267099065;0.0002911925;-0.0003520984;-0.0005980757;0.0001184173;0.00025935634;0.000275395;-0.000308009;-5.54386e-05;5.88426e-05;9.82066194e-05;4.73019e-05;-9.9561e-05
-0.0012420724;0.0001254381;0.000258187007;0.0003232336;-0.0003062167;1.0;-0.0011098463;0.0001301953;0.000278900116;0.0003182081;-0.0003678239;-0.0009951109;0.0001334293;0.000267099065;0.0002911925;-0.0003520984;-0.0005980757;0.0001184173;0.00025935634;0.000275395;-0.000308009
-0.0008951976;5.37519e-05;0.00013194271;0.0001539541;-0.000156573;0.0;-0.0012420724;0.0001254381;0.000258187007;0.0003232336;-0.0003062167;-0.0011098463;0.0001301953;0.000278900116;0.0003182081;-0.0003678239;-0.0009951109;0.0001334293;0.000267099065;0.0002911925;-0.0003520984
-0.0005062018;5.14756e-05;0.000120176235;9.46639e-05;-0.0001328085;0.0;-0.0008951976;5.37519e-05;0.00013194271;0.0001539541;-0.000156573;-0.0012420724;0.0001254381;0.000258187007;0.0003232336;-0.0003062167;-0.0011098463;0.0001301953;0.000278900116;0.0003182081;-0.0003678239
-0.0003826496;4.9451e-05;0.000109293389;8.40653e-05;-0.000128343;0.0;-0.0005062018;5.14756e-05;0.000120176235;9.46639e-05;-0.0001328085;-0.0008951976;5.37519e-05;0.00013194271;0.0001539541;-0.000156573;-0.0012420724;0.0001254381;0.000258187007;0.0003232336;-0.0003062167
-0.0002987196;4.50999e-05;0.000108790475;7.28166e-05;-0.00012014;0.0;-0.0003826496;4.9451e-05;0.000109293389;8.40653e-05;-0.000128343;-0.0005062018;5.14756e-05;0.000120176235;9.46639e-05;-0.0001328085;-0.0008951976;5.37519e-05;0.00013194271;0.0001539541;-0.000156573
-0.0002412565;4.414e-05;0.000104859966;6.89594e-05;-0.000117513;0.0;-0.0002987196;4.50999e-05;0.000108790475;7.28166e-05;-0.00012014;-0.0003826496;4.9451e-05;0.000109293389;8.40653e-05;-0.000128343;-0.0005062018;5.14756e-05;0.000120176235;9.46639e-05;-0.0001328085
